ETA,PHI,PT
-1.63694, 6.03748, 1.5559
-1.6135, 6.02325, 4.33133
-1.61425, 5.99918, 1.91126
-1.62894, 6.01033, 32.6309
-1.6142, 6.00617, 4.23558
@@@,@@@,@@@
1.104, 4.63105, 106.128
1.08266, 4.95882, 0.681182
1.2793, 4.46075, 0.0840003
0.992584, 4.30158, 0.100656
1.33569, 4.73613, 6.71887
1.20797, 4.38583, 1.38602
1.3128, 4.74971, 0.313448
1.02851, 4.78994, 0.285873
1.10966, 4.78154, 0.845618
1.22149, 4.63453, 5.71329
1.09318, 4.70017, 0.685471
1.13155, 4.57236, 5.94034
1.01441, 4.6176, 2.44396
1.07668, 4.66649, 3.63337
1.09879, 4.62592, 0.889632
1.05803, 4.6322, 3.5218
1.07017, 4.62331, 72.4127
1.09159, 4.62621, 0.625586
@@@,@@@,@@@
-2.32446, 1.21189, 103.045
-1.93845, 1.10978, 0.0304774
-2.31362, 1.57474, 1.72152
-2.30577, 1.55529, 0.939258
-2.47196, 0.943342, 0.286604
-2.14052, 1.34326, 1.68739
-2.16067, 1.11224, 0.699918
-2.20615, 1.08596, 2.2955
-2.44557, 1.06636, 0.528463
-2.38156, 1.34595, 1.52256
-2.44584, 1.13208, 2.82034
-2.43626, 1.14806, 3.78435
-2.41768, 1.17861, 2.02284
-2.39608, 1.25916, 9.79401
-2.27717, 1.11122, 0.890327
-2.30196, 1.11767, 0.59707
-2.37128, 1.16103, 3.65692
-2.26655, 1.27003, 0.809466
-2.29634, 1.27598, 1.30098
-2.35245, 1.16172, 3.38582
-2.24251, 1.19, 5.47888
-2.2794, 1.15829, 1.68015
-2.32755, 1.16966, 2.23348
-2.34295, 1.20603, 3.3421
-2.31656, 1.19559, 4.85748
-2.29688, 1.19897, 2.50872
-2.28484, 1.20985, 5.16799
-2.29512, 1.20979, 33.3757
-2.33149, 1.23305, 4.54975
-2.33315, 1.22936, 1.36612
@@@,@@@,@@@
1.29321, 1.45792, 109.111
1.39165, 1.118, 0.262546
1.58639, 1.55653, 0.305307
1.46382, 1.20752, 0.317438
1.01924, 1.46046, 0.845084
1.10265, 1.28277, 0.0733527
1.0582, 1.46981, 2.89996
1.18004, 1.61372, 2.11212
1.14129, 1.36346, 3.04445
1.14452, 1.46059, 0.833199
1.58834, 1.60783, 0.585225
1.1926, 1.54522, 5.04897
1.61357, 1.54751, 0.179424
1.40754, 1.43762, 11.249
1.26221, 1.46532, 6.90668
1.27225, 1.46001, 20.4567
1.34496, 1.45233, 2.25129
1.32406, 1.46286, 8.01023
1.3055, 1.44821, 30.8823
1.301, 1.45275, 12.9455
@@@,@@@,@@@
-0.476037, 6.2541, 101.623
-0.431624, 0.313165, 1.46058
-0.23341, 6.02268, 0.337412
-0.565307, 0.183716, 1.89033
-0.408826, 6.2431, 0.121508
-0.421213, 6.12783, 8.53977
-0.401387, 6.27441, 3.9921
-0.463408, 6.25892, 4.27533
-0.486694, 6.23804, 8.20401
-0.486719, 6.26194, 33.5999
-0.482844, 6.25524, 31.5551
-0.480327, 6.2536, 7.8541
@@@,@@@,@@@
-1.38304, 1.9554, 101.306
-1.02433, 1.80561, 1.90535
-1.28518, 1.92594, 0.136194
-1.39341, 2.33171, 0.300733
-1.1403, 2.16214, 0.979788
-1.57452, 1.7962, 1.45061
-1.60196, 1.86493, 2.26731
-1.26656, 2.15512, 1.0742
-1.48204, 1.82585, 0.899957
-1.35677, 2.11032, 1.36348
-1.24333, 1.89613, 1.98907
-1.47538, 1.84585, 0.434636
-1.26668, 1.91382, 1.90011
-1.39638, 2.07349, 0.252004
-1.46796, 2.03082, 5.99145
-1.3336, 2.05599, 2.50742
-1.40657, 1.87393, 7.58625
-1.31574, 1.91617, 5.78802
-1.34946, 1.98726, 7.34663
-1.34364, 1.9753, 2.638
-1.33459, 1.97756, 7.8702
-1.34216, 1.94604, 4.78552
-1.34094, 1.94561, 1.46885
-1.43568, 1.95836, 14.037
-1.44484, 1.94883, 0.419249
-1.41381, 1.9798, 1.50753
-1.4103, 1.95436, 4.94801
-1.39637, 1.95977, 5.14995
-1.38231, 1.95298, 14.5204
@@@,@@@,@@@
1.08678, 5.10605, 100.625
1.00996, 4.87059, 1.61454
1.15574, 5.00224, 0.671082
1.2095, 5.07302, 1.57074
1.0766, 5.01005, 1.87999
1.12356, 5.19986, 1.59392
1.14416, 5.18797, 2.11956
1.06675, 5.20286, 1.26904
1.13062, 5.04421, 2.37177
1.04569, 5.05246, 1.7625
1.09391, 5.0507, 2.16417
1.11604, 5.06649, 11.4849
1.02814, 5.12061, 13.8307
1.10669, 5.14423, 3.38321
1.09291, 5.14924, 19.3247
1.10266, 5.10181, 2.13365
1.09547, 5.11183, 7.60174
1.07716, 5.10019, 25.969
@@@,@@@,@@@
2.11255, 1.9373, 107.682
2.07956, 1.62685, 0.398442
2.09151, 1.7482, 0.374465
2.07678, 1.81316, 1.8097
1.99098, 1.97002, 0.315369
2.16554, 1.89404, 12.3488
2.18522, 1.99106, 0.654974
2.154, 1.90886, 0.533336
2.14703, 1.9766, 7.41293
2.10122, 1.9971, 2.70541
2.11641, 1.99317, 12.1266
2.15258, 1.91757, 0.942222
2.11831, 1.90462, 15.7313
2.09438, 1.96872, 12.1254
2.10831, 1.92332, 7.61397
2.1038, 1.92564, 2.91919
2.10491, 1.93512, 3.35944
2.08271, 1.94263, 21.6068
2.0729, 1.93198, 4.80138
@@@,@@@,@@@
-1.74084, 1.08017, 100.672
-2.05112, 0.861706, 0.932976
-1.93219, 0.770637, 0.820252
-1.51358, 1.1915, 5.70795
-1.50881, 1.0271, 0.729754
-1.78243, 0.946825, 0.50966
-1.70302, 0.958418, 0.100355
-1.66709, 1.11762, 1.84207
-1.7555, 1.14581, 7.55779
-1.81563, 1.06014, 5.04618
-1.71699, 1.0243, 1.61081
-1.76615, 1.0255, 4.67569
-1.77617, 1.04296, 5.01664
-1.73777, 1.1242, 3.08495
-1.70967, 1.08438, 3.38892
-1.74149, 1.10127, 9.07392
-1.72819, 1.07076, 18.4469
-1.75467, 1.078, 23.557
-1.74552, 1.06731, 8.71076
@@@,@@@,@@@
1.48306, 4.69269, 102.231
1.38413, 4.36212, 1.15153
1.34535, 4.62204, 0.0781586
1.4148, 4.78492, 9.20978
1.46527, 4.75579, 3.25964
1.47392, 4.64514, 8.84563
1.49959, 4.72565, 6.74476
1.46107, 4.6961, 1.56157
1.48397, 4.65961, 6.6393
1.49509, 4.6756, 19.0791
1.50759, 4.69596, 1.23845
1.49213, 4.69404, 44.5519
@@@,@@@,@@@
1.64112, 1.66992, 105.955
1.89004, 1.95368, 0.797301
1.73612, 1.7641, 1.12925
1.59115, 1.77187, 0.185824
1.711, 1.69338, 2.86502
1.5954, 1.66021, 16.9013
1.58642, 1.64938, 6.76433
1.64553, 1.63171, 8.77922
1.66902, 1.69877, 7.273
1.66938, 1.65866, 4.44679
1.65905, 1.66687, 21.601
1.64987, 1.6684, 9.72697
1.62833, 1.6557, 0.713524
1.62746, 1.67375, 18.3951
1.63283, 1.68299, 6.42789
@@@,@@@,@@@
-0.820536, 1.61717, 103.791
-0.576845, 1.92096, 0.0502076
-1.12897, 1.78073, 3.55778
-1.05381, 1.80225, 6.30963
-0.967465, 1.33134, 1.40837
-1.00903, 1.82205, 0.626357
-0.912167, 1.31435, 0.236876
-0.849477, 1.86225, 0.941544
-0.727932, 1.81322, 0.759327
-0.96805, 1.7011, 4.4309
-0.807748, 1.3934, 0.087289
-0.797108, 1.40188, 0.785201
-0.848328, 1.5495, 0.118797
-0.636304, 1.67546, 0.722303
-0.853922, 1.44166, 0.56318
-0.81852, 1.73377, 1.1093
-0.868996, 1.64345, 11.3321
-0.816053, 1.64697, 1.9851
-0.8436, 1.58068, 1.56218
-0.805891, 1.57867, 1.92593
-0.764106, 1.61085, 12.1745
-0.76888, 1.56775, 13.0935
-0.743168, 1.58254, 29.2572
-0.729497, 1.56964, 11.1417
@@@,@@@,@@@
0.159546, 0.209952, 105.189
0.32842, 0.535794, 1.93706
0.534981, 0.275662, 2.88476
-0.0345625, 6.16705, 1.06604
