ETA,PHI,PT
0.237382, 1.04711, 0.743136
0.217621, 1.49898, 0.0783821
0.0918759, 1.60582, 0.602459
0.144397, 1.56938, 2.58445
-0.150746, 1.62838, 1.49052
-0.0813758, 0.977389, 3.94777
-0.148536, 0.996253, 0.781944
-0.0651059, 1.62593, 0.270984
0.004082, 1.59378, 1.51009
0.181093, 1.45489, 0.48818
0.121345, 1.08854, 0.39265
0.0848678, 1.52783, 0.974225
0.113016, 1.1166, 0.971998
0.0599302, 1.12866, 2.81741
-0.0896214, 1.51814, 0.833932
0.0894203, 1.40513, 1.50778
0.0660944, 1.20784, 1.71521
-0.085239, 1.14687, 1.08043
0.043657, 1.31111, 1.10577
-0.0222254, 1.40298, 2.65768
-0.0696542, 1.38662, 4.15601
-0.0385088, 1.32573, 17.3597
-0.0578827, 1.21892, 4.14439
-0.154835, 1.39015, 0.602771
-0.15441, 1.32476, 0.545918
-0.134722, 1.27882, 15.8758
-0.158203, 1.29497, 12.0274
@@@,@@@,@@@
0.281691, 4.28032, 106.595
0.308681, 3.90207, 0.185475
0.387709, 3.95043, 0.579241
0.145338, 3.97898, 0.137641
0.597742, 4.00105, 0.135939
0.259363, 3.96777, 0.0356778
0.457164, 4.08139, 1.25248
0.305227, 4.038, 2.93139
0.0337734, 4.28679, 0.0379129
0.434851, 4.39218, 1.39475
0.107865, 4.3123, 3.38052
0.208214, 4.16108, 4.6394
0.379211, 4.23062, 5.58003
0.375029, 4.33146, 2.81666
0.211697, 4.37569, 2.76259
0.31538, 4.38413, 4.66656
0.185718, 4.32816, 2.2484
0.278089, 4.36195, 0.470633
0.283188, 4.37649, 2.72757
0.291168, 4.36701, 2.35849
0.289756, 4.36641, 6.00526
0.245671, 4.34545, 12.6083
0.207663, 4.21333, 1.43868
0.317851, 4.33483, 1.69809
0.351157, 4.29734, 1.42593
0.355458, 4.2505, 0.495778
0.239059, 4.24572, 1.11482
0.264834, 4.21813, 1.23699
0.25387, 4.28896, 2.49836
0.286215, 4.28327, 5.77081
0.282362, 4.25453, 32.4415
0.292688, 4.24274, 1.87445
@@@,@@@,@@@
-0.591589, 3.7847, 105.692
-0.735064, 4.14775, 0.193047
-0.850491, 3.86809, 0.765597
-0.673246, 3.53334, 0.901895
-0.421987, 3.60402, 0.266654
-0.822063, 3.77318, 0.10336
-0.738775, 3.93148, 0.288448
-0.69014, 3.95511, 1.89706
-0.735837, 3.92013, 1.19835
-0.754214, 3.73137, 0.405374
-0.765748, 3.77367, 0.534346
-0.570015, 3.88415, 2.5089
-0.617772, 3.83586, 2.65432
-0.599001, 3.83372, 1.83387
-0.628649, 3.77991, 2.47722
-0.583132, 3.78287, 1.50914
-0.572552, 3.76369, 1.77341
-0.568853, 3.77264, 17.0374
-0.586057, 3.7776, 25.3232
-0.58033, 3.77418, 22.0207
-0.580359, 3.77733, 22.1124
@@@,@@@,@@@
0.828938, 4.13314, 104.349
0.43219, 4.0794, 2.26862
0.602228, 4.00303, 0.236271
0.416745, 4.15905, 1.17182
0.8042, 4.37853, 0.175104
0.678641, 4.07568, 1.27063
0.705516, 4.1875, 5.82279
0.713698, 4.23435, 1.40957
0.681836, 4.32494, 2.54969
0.62134, 4.20905, 0.586825
0.583388, 4.2437, 2.38799
0.634741, 4.28085, 0.248647
0.618343, 4.28656, 13.6894
0.607683, 4.28157, 9.60318
1.06538, 4.3443, 0.406538
1.10247, 4.29578, 5.44915
1.04373, 4.31811, 0.304118
0.960835, 4.31712, 3.75
1.02994, 4.25536, 3.07424
0.929512, 4.27028, 5.4406
1.03112, 4.12223, 8.6694
0.9136, 3.70249, 0.106435
0.686473, 3.92253, 0.0812792
0.767716, 3.88579, 3.35549
0.883984, 3.84425, 3.53362
0.784911, 3.95924, 0.599294
0.803813, 3.92483, 0.284563
