ETA,PHI,PT
-1.9228, 3.05408, 0.554046
-2.04681, 3.18391, 1.99936
-1.95875, 3.07732, 1.36364
-2.20929, 2.97947, 0.872558
-1.97895, 2.98903, 4.4532
-2.05084, 2.94445, 5.78543
-2.15963, 2.96751, 2.12876
-2.31846, 2.98431, 0.204549
-2.1055, 2.97835, 4.80543
-2.06027, 3.03134, 12.4405
-2.10032, 3.04236, 31.1888
-2.07913, 3.05185, 11.3664
-2.08588, 3.04962, 21.0578
@@@,@@@,@@@
-1.27642, 2.73101, 106.962
-1.6156, 2.55893, 0.940001
-1.21336, 2.38833, 0.679576
-1.40132, 2.41299, 0.796162
-1.35084, 2.76473, 0.110118
-1.16955, 2.4873, 0.279065
-1.22498, 2.48595, 2.77607
-1.38933, 2.90584, 0.140071
-1.60393, 2.8574, 0.0963552
-1.30302, 2.91582, 0.515145
-1.42201, 2.79687, 0.41022
-1.39101, 2.67096, 2.34859
-1.17435, 2.7916, 0.442938
-1.35182, 2.73033, 2.37229
-1.23989, 2.81116, 1.95356
-1.24303, 2.74269, 15.9732
-1.25078, 2.73474, 13.4996
-1.25731, 2.75297, 1.96813
-1.27184, 2.7595, 11.884
-1.27628, 2.73683, 27.5205
-1.27715, 2.74869, 22.476
@@@,@@@,@@@
2.39318, 1.34424, 105.832
2.28244, 1.12453, 0.0956333
2.19564, 1.34165, 1.74701
2.3396, 1.32146, 2.7179
2.34554, 1.36198, 3.99688
2.43296, 1.38252, 3.67247
2.42252, 1.31698, 5.31574
2.42414, 1.32879, 12.3188
2.41136, 1.35403, 16.6446
2.38267, 1.36286, 15.2673
2.3885, 1.37153, 2.3649
2.39841, 1.3379, 12.6934
2.38412, 1.33107, 16.4357
2.38429, 1.34394, 12.5771
@@@,@@@,@@@
-1.35237, 3.3378, 102.039
-1.71886, 3.64498, 0.16625
-1.59477, 3.12583, 0.71457
-1.17079, 3.15877, 1.06207
-1.57206, 3.46805, 0.186905
-1.28623, 3.51279, 1.15691
-1.28217, 3.476, 3.13065
-1.30937, 3.21817, 0.940505
-1.2624, 3.32547, 12.7788
-1.35626, 3.42196, 1.9191
-1.42751, 3.33913, 13.493
-1.42457, 3.32208, 1.5612
-1.37853, 3.27525, 2.40865
-1.39146, 3.3662, 2.18363
-1.33193, 3.36022, 17.7107
-1.36955, 3.30466, 1.71207
-1.34923, 3.33166, 4.81648
-1.35454, 3.32268, 11.7236
-1.36024, 3.32566, 24.4929
@@@,@@@,@@@
-0.396876, 4.61677, 102.162
-0.33711, 4.91459, 1.37895
-0.44948, 4.40267, 0.326313
-0.503844, 4.60708, 3.13372
-0.464536, 4.67821, 0.437479
-0.433819, 4.64206, 9.17237
-0.4394, 4.61772, 10.4393
-0.344973, 4.63785, 5.37437
-0.408509, 4.62579, 18.059
-0.397578, 4.61114, 16.3631
-0.387503, 4.60564, 3.83482
-0.350227, 4.59963, 1.93893
-0.366872, 4.59532, 31.7856
@@@,@@@,@@@
0.958553, 4.83326, 103.547
0.651949, 4.66689, 0.596864
1.11395, 5.04744, 2.26561
1.12812, 5.01519, 0.566184
0.898846, 5.05623, 1.19039
1.00285, 4.70839, 1.0619
0.9334, 4.87974, 12.0277
0.957403, 4.87518, 2.53734
0.954903, 4.77577, 2.50913
0.966372, 4.82969, 52.577
0.937677, 4.79443, 10.3914
0.942801, 4.80287, 17.9669
@@@,@@@,@@@
-0.804397, 1.78634, 101.925
-0.494935, 2.03741, 0.975875
-0.463839, 1.58376, 0.669451
-0.442305, 1.90769, 1.49275
-0.970592, 1.46116, 0.0707354
-0.468429, 1.75531, 2.10804
-0.572015, 1.90818, 0.878736
-0.565744, 1.87237, 0.358518
-0.669206, 1.66436, 0.313206
-0.802263, 1.62761, 5.24375
-0.844628, 1.83278, 0.290761
-0.829438, 1.73895, 4.87801
-0.807311, 1.74833, 4.46544
-0.853087, 1.77821, 8.11232
-0.833277, 1.81183, 25.5866
-0.803764, 1.80192, 6.23922
-0.818031, 1.79256, 37.8748
-0.806285, 1.7853, 2.52235
@@@,@@@,@@@
-1.1812, 2.3957, 106.527
-1.49862, 2.2108, 2.22406
-1.29112, 2.05321, 0.108449
